"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"Wallet Transfers","EOA","Ethereum","ethereum","","","942410.5119440042","155.13744647886836","889658","235.379558","605021","266.750521"
"Tokens (ERC_20)","ERC_20","Ethereum","ethereum","","","391107.46603569033","109.33879130702273","459142","102.125402","255257","90.246102"
"DeFi","DeFi","Ethereum","ethereum","","","377321.7911511704","280.46609545105827","43843","263.450220","6848","131.742809"
"NFTs (ERC_721)","ERC_721","Ethereum","ethereum","","","156615.22272672786","174.2158880432293","71734","124.477406","52502","107.665533"
"Layer 2","Layer 2","Ethereum","ethereum","","","153903.01158861406","90.1389963530513","22717","86.311818","5408","77.836238"
"Wallet Transfers","EOA","BNB Chain","bsc","","","93113.17125781174","160.12301735796714","1280811","245.440643","917844","303.531279"
"Tokens (ERC_20)","ERC_20","BNB Chain","bsc","","","66529.91940240317","80.39138350507069","1908184","98.258033","883031","81.551294"
"Infrastructure","Utility","Ethereum","ethereum","","","52831.81848594193","131.3007993643414","15941","110.943496","9534","92.567158"
"Stablecoin","Stablecoin","Ethereum","ethereum","","","39046.547718474794","100.52122176017306","48223","103.980373","27154","83.957726"
"NFTs (ERC_721)","ERC_721","BNB Chain","bsc","","","18213.487280557027","233.41706852131142","247142","115.831347","131978","47.537282"
"CeFi","CeFi","Ethereum","ethereum","","","17854.744505011724","123.84618845873106","8283","106.661677","4142","87.166742"
"Tokens (ERC_1155)","ERC_1155","Ethereum","ethereum","","","9267.303276168219","180.75962056664832","6666","160.594214","4332","149.682997"
"Tokens (ERC_20)","ERC_20","Arbitrum","arbitrum","","","6904.609770509748","86.03439926914697","149717","85.723146","86437","85.499066"
"NFTs (ERC_721)","ERC_721","Optimism","optimism","","","6163.539708319657","88.76082725791716","48273","161.670642","30363","196.513672"
"NFTs (ERC_721)","ERC_721","Polygon","polygon","","","5504.23387798414","126.83312320620482","300249","147.668894","60887","159.281182"
"NFT Apps","NFT Apps","Ethereum","ethereum","","","5370.369571138532","94.89980912385712","2637","95.478132","325","60.098522"
"Tokens (ERC_1155)","ERC_1155","Polygon","polygon","","","4437.612972428922","54.1313554310968","164774","49.959501","30450","321.511628"
"Wallet Transfers","EOA","Arbitrum","arbitrum","","","3561.0261724504126","230.9918855114933","115167","361.276885","93543","564.462282"
"NFTs (ERC_721)","ERC_721","Arbitrum","arbitrum","","","3341.5251489834864","120.49015897230616","36972","110.738714","17964","157.106054"
"Wallet Transfers","EOA","Polygon","polygon","","","3187.1386996954825","54.958737081596325","515220","255.326588","298894","438.198646"
"DeFi","DeFi","Arbitrum","arbitrum","","","2779.6375691958824","98.08019349704126","24773","102.509605","10555","85.827465"
"Infrastructure","Utility","BNB Chain","bsc","","","2776.6354487400968","90.78821324417692","18618","90.680049","10754","83.546680"
"Tokens (ERC_20)","ERC_20","Optimism","optimism","","","2694.4853451008603","66.78052963981435","81487","71.342361","51077","86.480467"
"DeFi","DeFi","Optimism","optimism","","","2562.931870449459","56.09068906945541","15230","49.798367","4726","8.146453"
"Tokens (ERC_20)","ERC_20","Polygon","polygon","","","2268.575110750924","68.47885333342207","726774","74.709068","324061","73.607517"
"Wallet Transfers","EOA","Optimism","optimism","","","1928.6008568636034","124.35791692623948","41963","399.678495","32532","569.658296"
"Gaming","Gaming","Ethereum","ethereum","","","1188.1880009328047","83.2119825577009","846","70.909091","276","78.064516"
"Tokens (ERC_1155)","ERC_1155","BNB Chain","bsc","","","1056.2149353997672","62.38314868261327","6127","277.046154","1646","70.924195"
"Stablecoin","Stablecoin","BNB Chain","bsc","","","619.6444888605362","92.16888414714434","18593","82.141458","10331","64.297074"
"Layer 2","Layer 2","Arbitrum","arbitrum","","","564.5469397106099","63.148423083244694","13697","62.056318","7992","72.389991"
"DeFi","DeFi","BNB Chain","bsc","","","549.7309668353644","32.09094899677462","8984","48.446794","1452","45.054945"
"Stablecoin","Stablecoin","Optimism","optimism","","","448.67828430121006","88.98902227832261","10188","80.510276","5171","66.914138"
"Bridge","Bridge","Ethereum","ethereum","","","375.08192720654733","1523.9576560219205","201","3250.000000","85","1316.666667"
"Social","Social","Ethereum","ethereum","","","256.5286609158869","170.51403429981386","171","147.826087","59","28.260870"
"NFT Apps","NFT Apps","Polygon","polygon","","","181.96821385696597","160.654345491466","18990","219.589364","5192","115.078708"
"Tokens (ERC_1155)","ERC_1155","Arbitrum","arbitrum","","","160.9642133394015","32.580665209403385","2032","41.504178","733","187.450980"
"DeFi","DeFi","Polygon","polygon","","","107.37238726840535","56.427391049184756","12050","69.336706","6587","53.008130"
"Infrastructure","Utility","Arbitrum","arbitrum","","","107.34292016747038","157.47750027979473","1408","175.000000","161","62.626263"
"Tokens (ERC_1155)","ERC_1155","Optimism","optimism","","","83.1181090637761","251.96277874182465","1841","265.277778","1090","267.003367"
"Bridge","Bridge","Arbitrum","arbitrum","","","77.89502813081593","54.27904759856436","1623","59.273798","1510","58.947368"
"CeFi","CeFi","Arbitrum","arbitrum","","","76.71604713799255","56.48065684699082","3133","61.661507","2701","54.342857"
"NFT Apps","NFT Apps","Arbitrum","arbitrum","","","69.26389626458912","55.36760977222503","417","56.179775","286","83.333333"
"Bridge","Bridge","BNB Chain","bsc","","","11.443745973999999","97.82388855175527","18","100.000000","15","66.666667"
"CeFi","CeFi","Optimism","optimism","","","0.06376230970920618","258.90124103614255","3","200.000000","3","200.000000"
"Social","Social","Polygon","polygon","","","0.025729376707784662","897.8104413585096","12","500.000000","9","800.000000"
"Gaming","Gaming","BNB Chain","bsc","","","0.016681746555","","1","","1",""
"Gaming","Gaming","Polygon","polygon","","","0.001992968311348896","153.2791016957723","2","100.000000","2","100.000000"
"Bridge","Bridge","Avalanche","avalanche","","","","","19194","91.940000","2","100.000000"
"Social","Social","Avalanche","avalanche","","","","","16","128.571429","15","114.285714"
"DeFi","DeFi","Avalanche","avalanche","","","","","5718","110.685335","1539","67.282609"
"Gaming","Gaming","Avalanche","avalanche","","","","","320","76.795580","53","96.296296"
"Tokens (ERC_20)","ERC_20","Avalanche","avalanche","","","","","53347","92.539791","29028","80.331739"
"CeFi","CeFi","Avalanche","avalanche","","","","","305","80.473373","200","70.940171"
"Wallet Transfers","EOA","Avalanche","avalanche","","","","","32110","533.833399","25669","1008.333333"
"NFTs (ERC_721)","ERC_721","Avalanche","avalanche","","","","","9361","219.488055","6852","294.473230"
"Tokens (ERC_1155)","ERC_1155","Avalanche","avalanche","","","","","3124","95.616781","112","45.454545"
