"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0x51c72848c68a965f66fa7a88855f9f7784502a7f","0x51c72848c68a965f66fa7a88855f9f7784502a7f","Ethereum","ethereum","","","143750.15248102302","970.0262607341539","11873","218.909482","97","3.191489"
"MEV Bot: 0xA69...78C","0xa69babef1ca67a37ffaf7a485dfff3382056e78c","Ethereum","ethereum","","","74352.82950918183","916.8950139495066","10148","178.332419","132","30.693069"
"MEV Bot: 0x6f1…168","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","Ethereum","ethereum","","","43280.21445084182","619.3201175842595","3014","124.925373","44","25.714286"
"0x965df5ff6116c395187e288e5c87fb96cfb8141c","0x965df5ff6116c395187e288e5c87fb96cfb8141c","BNB Chain","bsc","","","42237.27325190995","1264.731823821863","1486","165.357143","137","63.095238"
"0xb517850510997a34b4ddc8c3797b4f83fad510c4","0xb517850510997a34b4ddc8c3797b4f83fad510c4","Ethereum","ethereum","","","42132.4936493794","593.7539019491073","4714","127.180723","1232","151.428571"
"0xe8cfad4c75a5e1caf939fd80afcf837dde340a69","0xe8cfad4c75a5e1caf939fd80afcf837dde340a69","Ethereum","ethereum","","","42128.54708629209","1263.5781814744494","1382","612.371134","11","120.000000"
"0x3c11f6265ddec22f4d049dde480615735f451646","0x3c11f6265ddec22f4d049dde480615735f451646","Ethereum","ethereum","","","29082.783670316196","407.987235704501","2733","75.868726","1831","69.067405"
"Scroll: L1 Gateway Router Proxy","0xf8b1378579659d8f7ee5f3c929c2f3e332e41fd6","Ethereum","ethereum","","","21840.722621264656","18.11309216016653","2549","-50.078339","2430","-51.234196"
"0x761cfa7c11436e0360c74fa8ba992c63fb6dedae","0x761cfa7c11436e0360c74fa8ba992c63fb6dedae","Ethereum","ethereum","","","21080.506027904114","","2709","","1406",""
"Binance 14","0x28c6c06298d514db089934071355e5743bf21d60","Ethereum","ethereum","","","16934.315851344785","718.6492507817549","15749","190.893979","12588","175.629516"
"0x802b65b5d9016621e66003aed0b16615093f328b","0x802b65b5d9016621e66003aed0b16615093f328b","BNB Chain","bsc","","","16323.317211522159","632.3585003178156","59111","380.929135","124","0.813008"
"0x6719c6ebf80d6499ca9ce170cda72beb3f1d1a54","0x6719c6ebf80d6499ca9ce170cda72beb3f1d1a54","Ethereum","ethereum","","","14367.495669202504","226.86250662369525","1968","97.392177","9","0.000000"
"0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef","0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef","Ethereum","ethereum","","","13566.816634258954","1488.7806412846342","2877","300.696379","41","13.888889"
"BlockFi 4","0x3fda25f27211a138adf211f4c060f2149674be6d","Ethereum","ethereum","","","9838.889935366167","","1638","","2",""
"PulseChain: Foreign AMB Proxy","0xd0764fae29e0a6a96ff685f71cfc685456d5636c","Ethereum","ethereum","","","9316.52096095301","568.3122967026374","922","124.878049","681","116.878981"
"MEV Bot: 0x50...EDF","0x5050e08626c499411b5d0e0b5af0e83d3fd82edf","Ethereum","ethereum","","","9084.686766633484","1432.356805950818","1454","300.550964","18","38.461538"
"0x0000000055eca968153aeffa4e421f9cd2680f01","0x0000000055eca968153aeffa4e421f9cd2680f01","BNB Chain","bsc","","","8072.5051182813695","1133.9966969919212","8913","854.282655","5","25.000000"
"MEV Bot: 0x1fB...EcB","0x1fb421310ceacd0afb2a429bbb4682e522b38ecb","Ethereum","ethereum","","","7955.252289740117","147.74161201253975","834","53.027523","8","14.285714"
"0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4","0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4","Arbitrum","arbitrum","","","7935.895591203435","1047.6229768079522","26581","376.362007","15512","350.145096"
"0xfa0df920ae835fc68aa5cedac9c930a64f44c26c","0xfa0df920ae835fc68aa5cedac9c930a64f44c26c","BNB Chain","bsc","","","7564.464941456607","576.8822523063253","27773","400.594809","44","15.789474"
"Stake.com","0x974caa59e49682cda0ad2bbe82983419a2ecc400","Ethereum","ethereum","","","7552.933081650934","385.5161628114683","8409","65.661939","7055","45.284185"
"Fake_Phishing2019","0x0000000000b35ae47b12b8ccf2f8d51e208760c8","BNB Chain","bsc","","","6946.402756169559","81.01993643403426","16818","119.212722","18","5.882353"
"0xcac0f1a06d3f02397cfb6d7077321d73b504916e","0xcac0f1a06d3f02397cfb6d7077321d73b504916e","Ethereum","ethereum","","","6837.297443511228","528.3032201102016","6206","114.443677","2565","73.310811"
"0x7b55800de02e4799f7b00a2c9963575464053f6a","0x7b55800de02e4799f7b00a2c9963575464053f6a","Arbitrum","arbitrum","","","5959.726305499406","138521.92142622816","19769","68068.965517","10747","76664.285714"
"0x64a6f29ef51095a3711ac6d6184ce659d0de107e","0x64a6f29ef51095a3711ac6d6184ce659d0de107e","Ethereum","ethereum","","","5466.527744915035","1100.3120747529395","680","573.267327","419","355.434783"
"MEXC: Mexc.com","0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","Ethereum","ethereum","","","5336.261254573057","668.3135867750709","4087","213.420245","3117","181.317690"
"MEV Bot: 0xfbe…737","0xfbeedcfe378866dab6abbafd8b2986f5c1768737","Ethereum","ethereum","","","5160.995494977345","600.0855486749166","1157","109.222423","3","200.000000"
"0xc1b89248bd166f579ba60907091eb43eca660d16","0xc1b89248bd166f579ba60907091eb43eca660d16","Ethereum","ethereum","","","5030.070037056106","1512.6903577366247","560","582.926829","365","380.263158"
"0x3dca8c53b2577262fa491e137ce1762dc1f2f2d3","0x3dca8c53b2577262fa491e137ce1762dc1f2f2d3","Ethereum","ethereum","","","4938.0279016161185","26565.1336507805","6","-66.666667","5","-68.750000"
"0x183a6cf1fc6504138d92c9d663094ee774f80038","0x183a6cf1fc6504138d92c9d663094ee774f80038","Ethereum","ethereum","","","4745.471349149756","270.5345316138699","4640","33.794694","3951","26.919370"
"0x444d591143da6cb038a21b8f7602283bf5bddecc","0x444d591143da6cb038a21b8f7602283bf5bddecc","Ethereum","ethereum","","","4309.389541565731","211502.7563708444","5","150.000000","5","150.000000"
"0x276776f094d039fa42ac648fa9ec790d7d394240","0x276776f094d039fa42ac648fa9ec790d7d394240","BNB Chain","bsc","","","3896.563224333887","3079.89936147644","270","246.153846","2","0.000000"
"MEV Bot: 0x0c3...D3E","0x0c3de458b51a11da7d4616f42f66c861e3859d3e","Ethereum","ethereum","","","3857.012623721508","693.3520638348854","817","188.692580","9","28.571429"
"Rollbit: Hot Wallet","0xcbd6832ebc203e49e2b771897067fce3c58575ac","Ethereum","ethereum","","","3813.579083137695","233.09937819137383","3904","20.123077","2144","36.386768"
"0x301250f7d41f42723e382848ce34bdb02cbb3add","0x301250f7d41f42723e382848ce34bdb02cbb3add","Ethereum","ethereum","","","3787.5178392455787","16027.2261301457","32","33.333333","32","52.380952"
"0xdb31651967684a40a05c4ab8ec56fc32f060998d","0xdb31651967684a40a05c4ab8ec56fc32f060998d","Ethereum","ethereum","","","3334.0449077250555","-34.78598296501871","7594","-46.343531","7594","-46.343531"
"Coinbase 3","0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740","Ethereum","ethereum","","","3165.8620714069993","3059.9095113220656","2882","929.285714","2797","951.503759"
"Coinbase 5","0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511","Ethereum","ethereum","","","3079.493496715505","4907.511162214983","2231","1032.487310","2174","1050.264550"
