open;high;low;close;volume;marketCap;timestamp
1680.5721820523;1699.3666386185;1678.5648921066;1694.8820543165;6549572073.49;203838717715.51;"2023-10-23T03:00:00.000Z"
1694.8470671393;1697.7274933509;1690.8091379684;1696.4678377627;6865693705.79;204030386960.16;"2023-10-23T04:00:00.000Z"
1695.2605209525;1705.3718019232;1691.4884132312;1693.723242127;7066051825.62;203700300590.62;"2023-10-23T05:00:00.000Z"
1694.4354224538;1698.1590456883;1685.739045457;1685.739045457;6924960417.44;202740059140.77;"2023-10-23T06:00:00.000Z"
1683.7470162911;1688.0590561033;1674.1750710375;1675.6652549229;7590640250.34;201528506917.35;"2023-10-23T07:00:00.000Z"
1676.1682100254;1684.0024238297;1675.2867812778;1684.0024238297;7724228694.04;202531199547.49;"2023-10-23T08:00:00.000Z"
1683.6945475365;1683.6945475365;1663.4480436095;1670.8164659771;8029912252.21;200945353931.55;"2023-10-23T09:00:00.000Z"
1671.5522400594;1675.4811665402;1671.3245144612;1673.0769574334;8161475327.51;201217218175.76;"2023-10-23T10:00:00.000Z"
1673.059799767;1681.5108234276;1672.9937299786;1677.5357195916;8214001091.15;201753463513.43;"2023-10-23T11:00:00.000Z"
1677.3524234286;1680.3976428739;1675.5892204899;1676.8555437175;8318647605.61;201671660284.57;"2023-10-23T12:00:00.000Z"
1677.2980210885;1679.1961711914;1664.5820476577;1671.3491573627;8536995219.44;201009419531.32;"2023-10-23T13:00:00.000Z"
1670.830535974;1682.6876549345;1670.4101698628;1680.8419258293;8728064303.06;202151093532.13;"2023-10-23T14:00:00.000Z"
1679.3948718523;1684.4775864959;1678.6943568252;1678.6943568252;8828832939.98;201892810218.3;"2023-10-23T15:00:00.000Z"
1677.406908643;1693.5872473237;1673.1984495098;1692.6121610821;9267498643.86;203566673362.04;"2023-10-23T16:00:00.000Z"
1690.6066871073;1694.8635836396;1680.1276357899;1688.8701146206;9601141511.13;203116625815.85;"2023-10-23T17:00:00.000Z"
1687.8605622782;1700.1106943836;1686.6598440785;1700.1106943836;10020515475.81;204468505166.39;"2023-10-23T18:00:00.000Z"
1702.102869317;1712.1795387182;1696.3357821906;1710.6491543926;10468074969.45;205735942146.76;"2023-10-23T19:00:00.000Z"
1709.9540083332;1721.1763627028;1707.8764076084;1710.0549104208;10851909087.32;205664473755.3;"2023-10-23T20:00:00.000Z"
1709.0003614428;1724.1904785335;1705.074621794;1718.4639687335;11101144610.86;206675812363.28;"2023-10-23T21:00:00.000Z"
1718.048667602;1779.1053962644;1716.5233783667;1779.1053962644;13110965411.53;213969021022.78;"2023-10-23T22:00:00.000Z"
1786.0479181279;1794.0704935729;1754.4011271274;1765.3826429207;14362295878.75;212318616215.49;"2023-10-23T23:00:00.000Z"
1766.0146060538;1785.8517021474;1759.4275704694;1780.5794197944;14846828569.95;214146298531.1;"2023-10-24T00:00:00.000Z"
1778.2317332995;1786.4469012221;1768.0750938121;1782.2016353408;14866625158.41;214341398761.3;"2023-10-24T01:00:00.000Z"
